Selecciona el paquet;Rang;Sector
A1;802A00019983 - 802A00019976;Urbanitzacions
A2;802A00179966 - 802A00147140;Urbanitzacions
A3;802A00147139 - 802A00115120;Urbanitzacions
A4;802A00115119 - 802A00102029;Urbanitzacions
S2;802A00280735 - 802A00260091;Urbanitzacions
S3;802A00319998 - 802A00300147;Urbanitzacions
S4;802A00481494 - 802A00440058;Urbanitzacions
S5;802A00599978 - 802A00580066;Urbanitzacions
S6;802A00069999 - 802A00060058;Urbanitzacions
S7;802A00079910 - 802A00070000;Urbanitzacions
S8;802A00089999 - 802A00082058;Urbanitzacions
S9;802A00099970 - 802A00090000;Urbanitzacions